episode,episode_reward,episode_steps,episode_success,episode_delay,total_samples,epsilon,loss,timestamp
243,-3.001357422046222,15,1,70.55077800817502,10522,0.6148,0.395000,2026-04-02 14:17:25
244,-17.94178167695701,46,1,240.2531694410533,10547,0.6136,0.079654,2026-04-02 14:17:25
245,-4.601512283805073,5,1,57.89521759095926,10558,0.6123,0.149745,2026-04-02 14:17:25
246,-164.45817305842337,167,1,1181.7314883914053,10678,0.6111,0.028520,2026-04-02 14:17:27
247,-12.01106407952256,22,1,179.15407326567475,10740,0.6099,0.167114,2026-04-02 14:17:27
248,-46.910619783677056,63,1,364.3179660711157,10793,0.6087,0.061949,2026-04-02 14:17:28
249,-18.133384086862502,61,1,199.71990041696085,10881,0.6074,0.071290,2026-04-02 14:17:29
250,-29.598972538038602,70,1,486.4348834665554,11022,0.6062,0.118400,2026-04-02 14:17:30
251,-3.1181805894648424,34,1,96.72318014422449,11070,0.6050,0.072664,2026-04-02 14:17:31
252,-118.4743538593267,149,1,959.9254490717676,11154,0.6038,0.101703,2026-04-02 14:17:31
253,-4.826985851639632,6,1,61.22798590382779,11209,0.6026,0.099184,2026-04-02 14:17:32
254,-25.649942633950555,63,1,267.14932228838734,11388,0.6014,0.136984,2026-04-02 14:17:34
255,-81.18523743361946,89,1,557.1508257782674,11389,0.6002,0.238829,2026-04-02 14:17:34
256,-22.127466303871,47,1,207.79004681486668,11401,0.5990,0.172599,2026-04-02 14:17:34
257,-58.84040029725704,115,1,507.18018591072575,11462,0.5978,0.087329,2026-04-02 14:17:35
258,-6.843594380048811,12,1,127.82232937953813,11489,0.5966,0.148306,2026-04-02 14:17:35
259,-127.2229632167501,123,1,851.8633454641158,11498,0.5954,0.043397,2026-04-02 14:17:35
260,-9.722103759682328,15,1,99.72564311021509,11524,0.5942,0.142292,2026-04-02 14:17:35
261,-4.096086372507603,11,1,79.19205857692204,11581,0.5930,0.117470,2026-04-02 14:17:36
262,-23.297910159394473,35,1,175.39604329667904,11669,0.5918,0.142236,2026-04-02 14:17:37
263,-13.315239382728963,60,1,138.68950125893736,11689,0.5907,0.067698,2026-04-02 14:17:37
264,-19.29146057690937,81,1,300.16713324651,11714,0.5895,0.147592,2026-04-02 14:17:37
265,-13.237479124430624,31,1,217.42816867820412,11833,0.5883,0.125728,2026-04-02 14:17:38
266,-34.58883718674161,41,1,337.1193658705211,11854,0.5871,0.112169,2026-04-02 14:17:39
267,-56.89352693409522,143,1,755.6100361230764,11873,0.5859,0.090426,2026-04-02 14:17:39
268,-1.4167404470429388,1,1,37.09826764868513,11887,0.5848,0.153513,2026-04-02 14:17:39
269,-13.700528050239235,50,1,175.23960436420313,11896,0.5836,0.146348,2026-04-02 14:17:39
270,-75.12430538950579,71,1,596.6224751007219,12024,0.5824,0.096964,2026-04-02 14:17:40
271,-24.328726923139325,24,1,209.03483253452913,12084,0.5813,0.205624,2026-04-02 14:17:41
272,-45.656888167163984,32,1,338.10736436651285,12090,0.5801,0.052689,2026-04-02 14:17:41
273,-38.57383267333233,37,1,237.62989690969263,12195,0.5789,0.111579,2026-04-02 14:17:42
274,-30.29907650639105,69,1,352.5621828286713,12264,0.5778,0.208821,2026-04-02 14:17:43
275,-11.999799720412176,30,1,92.94860248138193,12267,0.5766,0.122004,2026-04-02 14:17:43
276,-8.117040882599046,25,1,111.0634064496824,12399,0.5755,0.198399,2026-04-02 14:17:44
277,-28.315307610232846,58,1,239.65891915604715,12551,0.5743,0.149346,2026-04-02 14:17:46
278,-14.132520447128556,25,1,187.2277314081568,12604,0.5732,0.194289,2026-04-02 14:17:46
279,0.1951662528100876,7,1,26.188096467574965,12613,0.5720,0.271545,2026-04-02 14:17:46
280,-37.35552561112262,68,1,344.87211145691913,12635,0.5709,0.249264,2026-04-02 14:17:47
281,-75.4881108802146,127,1,790.9081598605765,12694,0.5697,0.145501,2026-04-02 14:17:47
282,-19.290537715933997,18,1,145.96058151086427,12762,0.5686,0.105386,2026-04-02 14:17:48
283,-40.586485814124025,75,1,466.7559626468117,12862,0.5675,0.236180,2026-04-02 14:17:49
284,-15.782361071194211,36,1,185.5568991234241,12894,0.5663,0.156825,2026-04-02 14:17:49
285,-39.36877974834364,37,1,349.1036899741696,12934,0.5652,0.215264,2026-04-02 14:17:50
286,-13.994108497592443,25,1,158.09548248196302,13067,0.5641,0.107168,2026-04-02 14:17:51
287,-19.69460757484683,39,1,168.76343836005475,13077,0.5629,0.083044,2026-04-02 14:17:51
288,-1.9106528681975186,5,1,48.77224616804635,13113,0.5618,0.315798,2026-04-02 14:17:51
289,0.3570617881553926,5,1,17.807045931438548,13123,0.5607,0.319631,2026-04-02 14:17:52
290,-152.71250228709047,200,0,1043.9097585098996,13253,0.5596,0.370276,2026-04-02 14:17:53
